"","DC39","DC85","DC93","DC97","DC135","DC136","DC108","DC110","DC112","DC114","DC118","DC123","DC131","DC24","DC56"
"Belongs_to_the_ATP_guanido_phosphotransferase_family",1.96897415708241,-0.606078437503848,-0.606078437503848,-0.606078437503848,-0.606078437503848,-0.606078437503848,-0.246326425105384,1.82660236402598,-0.309109694388641,-0.606078437503848,-0.0293834281919004,1.90282113495551,-0.264950608347185,-0.606078437503848,-0.606078437503848
"MDH1_Malate_dehydrogenase",-0.488032268442888,-0.488032268442888,-0.488032268442888,-0.488032268442888,-0.146523794463218,-0.247655667001451,0.650521300451592,2.77115548345335,1.85282536198862,-0.488032268442888,-0.488032268442888,-0.488032268442888,-0.488032268442888,-0.488032268442888,-0.488032268442888
"Belongs_to_the_ATP_guanido_phosphotransferase_family.1",-0.500245751996713,-0.500245751996713,-0.500245751996713,-0.500245751996713,-0.0460587165614706,-0.500245751996713,1.07326676380953,2.03995433794587,2.43554088676992,-0.500245751996713,-0.500245751996713,-0.500245751996713,-0.500245751996713,-0.500245751996713,-0.500245751996713
"phosphoenolpyruvate_carboxykinase_activity",0.0990136873314107,-1.04255246989863,-0.629480711694699,-0.79623679905855,-0.419156193502761,-0.366380199178093,-0.502164026306446,-0.627941724793724,-0.368688192655728,0.286133300298183,0.979203850404421,0.820699266433546,1.4819921463032,-1.22935614111686,2.31491420743472
"NDUFS7_quinone_binding",-0.0382166989734614,-0.355855436691259,-0.0605395112337278,-0.534401829996973,-0.17476835575394,-0.813968467826753,-0.308623420892448,-0.117952569017831,-0.523239483007604,-0.401139114993838,0.524451168007786,-0.418742466767057,0.494231328797153,-0.626594255120877,3.35535911347084
"Mitochondrial_carrier_protein",-0.697771699141667,-0.176266951631962,-0.230347157418881,-0.289756699611901,-0.28503751400355,-0.46181284202429,0.0772284978821874,0.170713749017553,-0.230512551980789,-0.350466424165929,-0.212676077514016,-0.931499207906612,0.0404754142361354,0.12681720106543,3.45091226319829
"SLC25A10_Mitochondrial_dicarboxylate_carrier",-0.0253549525361317,-0.659195185278385,-0.256493262156478,-0.821378474891679,-0.245093527444581,-0.69966781399462,-0.366809369247075,-0.421905360735023,-0.176035820453159,-0.231317804652001,0.363584193992426,0.389366782411238,0.619426836334459,-0.735508049544045,3.26638180819505
"phosphoenolpyruvate_carboxykinase_activity.1",0.147357378998563,-0.95047099073205,-0.375034899824848,-0.99080573441486,-0.466046032610471,-0.595872054348938,-0.33516992445272,-0.489383867480963,-0.393029441080307,0.115192046753329,0.99786028445469,0.732059860240164,1.48421898967725,-1.24320537752101,2.36232976234216
"SLC25A25_ATP_transmembrane_transporter_activity",-0.389875479735469,-0.544045104090038,-0.321761622449951,-0.682293394228405,-0.653507080507544,-0.244240822787533,-0.128911414205953,0.264761240354313,0.0201271744165017,-0.17699242348065,-0.0960544597260862,0.369791143658796,-0.0909999065879306,-0.742468493009352,3.41647064237928
"CYB5R4_heme_binding",0.307921059793232,-0.788674617802178,-0.495746070002082,-0.875291360570194,-0.472719715853498,-0.312127622247991,-0.0354986755431094,-0.215770864565773,0.104932667744929,-0.00344877691362527,0.0418040404766771,-0.341403304679841,0.178342672828486,-0.484475638624655,3.39215620595962
"GDE1_glycerophosphodiester_phosphodiesterase_1",-0.922324927100844,0.548682142725966,-0.665712782298526,0.320237676246007,-1.11578891264526,-0.0674730831081157,-0.419505590449416,0.38781792147579,0.404120951516183,-1.00543169508622,-0.337941568574785,-0.205362389868197,-0.415352256517608,0.498143199571355,2.99589131411367
"ndufs8_4_iron._4_sulfur_cluster_binding",-0.0400009738376867,2.14623833002149,1.47443161259391,0.904168820643689,0.342227164422869,0.328722429773302,-0.876695187148762,0.0808721659916019,0.16882402460035,-0.423477021716813,0.287332421878414,-1.11449079403771,-1.10427629077124,-0.709116690087252,-1.46476001232613
"fdx1_2_iron._2_sulfur_cluster_binding",-0.539140997978934,-0.103286745702486,0.191047038154381,-0.0533216861668255,-0.649165771230157,0.0708341317056072,-0.389432858667732,0.0055275323426523,-0.284579498458767,-0.604719649317773,-0.0512840352939858,-0.747832679230503,-0.0304440141392838,-0.277535379264838,3.46333461324866
"SUOX_sulfite_oxidase_activity",1.19868630977948,0.507061709869419,-0.858361754650045,0.0592470977736942,1.41375290947938,0.542066362119646,-0.696767816984938,0.364794950180219,-0.936487361093615,0.64427143665921,0.230403756978156,0.993913955347301,-0.089650224219902,-1.12734344845529,-2.24558788278271
"CYB5R4_heme_binding.1",0.402500069310672,-0.952246838189429,-0.628258583039323,-0.880049870022256,-0.390625178751782,-0.268503762108881,0.0051410561955755,-0.555320224093978,0.339433320090786,0.08473131556488,0.206658495479867,-0.236569253967334,0.345955843321344,-0.697918606508088,3.22507221671795
"SLC25A11_oxoglutarate.malate_antiporter_activity",-0.307776000534208,-0.542001220177224,0.817946669493601,-0.750748156597148,-0.717135171653576,-0.923964073609027,0.795294242844926,0.256930055027168,-0.502117543739878,-0.395477996010407,0.281860878303478,-0.552502693342884,0.278628363598609,-0.724904615878432,2.98596726227501
"KDM6A_histone_H3.K27_demethylation",-0.585743177283701,-1.19835341761442,-1.08275500059747,-0.66443308298142,-0.128906167678912,-0.317103405165507,-0.743605291669729,-0.224611269836855,0.0502470542726205,-0.0086041271615896,0.190154616949496,1.74573987826955,0.980545078185333,-0.396193086192779,2.38362139850538
"phosphoenolpyruvate_carboxykinase_activity.2",0.00508378192459865,-1.1005724058463,-0.67201148704234,-0.662261035941043,0.0367782950568411,-1.05824247289245,-0.715443143587351,0.0303239596310019,-0.0819833876294247,0.150472627279617,1.12742623802646,0.917778080969341,1.44824105417369,-1.42442758809422,1.99883748397158
"PCK2_Phosphoenolpyruvate_carboxykinase_GTP_._mitochondrial",0.122870007991435,-1.00159372617635,-0.495297770113727,-0.713394550347258,-0.022575626726903,-1.27346672518505,-0.687745827241511,0.210315813823206,-0.149522564902037,0.0739403128231514,1.14766000931866,0.797917661216376,1.42238326565924,-1.43644427359159,2.00495399345236
